inspection_id,inspection_date,inspector,facility_type,past_fail,past_critical,past_serious,years_since_last,age_at_inspection,tobacco_license,alcohol_license,daily_high_temp,burglary_intensity,sanitation_complaints,garbage_requests,critical_found
673299,2012-02-02,orange,Restaurant,0,0,0,2,5.468493150684932,FALSE,FALSE,52.133333333333326,3.2242854725121872,19.510262833161338,2.591442149602178,2
673301,2012-02-02,orange,Restaurant,0,0,0,2,5.468493150684932,FALSE,FALSE,52.133333333333326,6.584975157798226,6.572387990239673,7.475637000846177,1
673302,2012-02-03,orange,Restaurant,0,0,0,2,14.728767123287671,FALSE,TRUE,48.31666666666666,23.440925892763264,4.312467892196051,14.346749928042401,2
673303,2012-02-03,orange,Restaurant,0,0,0,2,5.471232876712329,FALSE,FALSE,48.31666666666666,26.924775255903803,3.1446591638042336,14.14257758206839,4
673304,2012-02-06,orange,Restaurant,0,0,0,2,5.47945205479452,FALSE,FALSE,38.333333333333336,21.99170360292591,2.149754737027416,4.718735556069562,0
673306,2012-02-06,orange,Restaurant,0,0,0,2,1.9452054794520548,FALSE,FALSE,38.333333333333336,21.38084914545431,1.9836215872651624,13.851870479789456,0
673307,2012-02-06,orange,Restaurant,0,0,0,2,0.5753424657534246,FALSE,FALSE,38.333333333333336,17.061323713021583,2.4708429075144895,12.464632134663475,0
673308,2012-02-07,orange,Restaurant,0,0,0,2,3.791780821917808,FALSE,FALSE,36.59666666666667,3.0836186552118274,6.166780578946159,0.9728254742608577,0
673310,2012-02-07,orange,Restaurant,0,0,0,2,5.482191780821918,FALSE,TRUE,36.59666666666667,14.202995288956858,1.3234001868349408,12.518585553812514,0
673311,2012-02-07,orange,Restaurant,0,0,0,2,5.482191780821918,FALSE,FALSE,36.59666666666667,14.428138451005388,1.3570614358767379,15.667206757321377,0
679207,2012-03-09,orange,Restaurant,0,0,0,2,5.315068493150685,FALSE,TRUE,64.81333333333333,16.14958425382981,64.46397926223486,13.369668830470001,0
679208,2012-03-06,blue,Grocery_Store,0,0,0,2,6.306849315068493,FALSE,FALSE,39.766666666666666,19.960149128690503,41.691660203840534,20.133668037934086,0
679209,2012-03-13,green,Restaurant,0,0,0,2,1.2246575342465753,FALSE,FALSE,63.64333333333334,1.482145594087371e-218,1.4999566877487945e-186,2.687880757364415e-237,2
679216,2012-02-09,green,Restaurant,0,0,0,2,1.673972602739726,FALSE,FALSE,33.86000000000001,34.07732676693975,33.168072535571746,38.7882024909439,0
679217,2012-03-07,orange,Restaurant,1,0,1,0.2684931506849315,2.378082191780822,FALSE,TRUE,50.26666666666667,47.44385600243583,39.85201349203339,15.465728520055452,0
679219,2012-03-13,green,Restaurant,0,0,0,2,2.202739726027397,FALSE,FALSE,63.64333333333334,1.482145594087371e-218,1.4999566877487945e-186,2.687880757364415e-237,2
679221,2012-03-12,blue,Restaurant,0,0,0,2,3.736986301369863,FALSE,FALSE,57.04,27.956658584919957,0.0010503191226470623,24.731387802512092,1
679236,2012-03-26,orange,Restaurant,0,0,1,0.4136986301369863,6.071232876712329,FALSE,FALSE,59.14666666666667,0.6420863478105532,0.12852201793933066,0.5094943315379447,0
679244,2012-03-26,yellow,Grocery_Store,0,0,0,2,5.6136986301369864,TRUE,FALSE,59.14666666666667,28.12514230934765,10.882029028427189,15.789835292144309,1
679245,2012-03-26,orange,Restaurant,0,0,0,2,6.071232876712329,FALSE,FALSE,59.14666666666667,0.6420863478105532,0.12852201793933066,0.5094943315379447,0
679248,2012-03-26,blue,Other,0,0,0,2,5.6136986301369864,FALSE,FALSE,59.14666666666667,46.725458924022455,6.156602731277781,19.40676338769688,0
679250,2012-03-26,orange,Other,0,0,0,2,2.4438356164383563,FALSE,FALSE,59.14666666666667,57.38764891638351,31.445424246635408,20.78750273861602,0
679251,2012-03-26,orange,Restaurant,0,0,0,2,5.684931506849315,FALSE,FALSE,59.14666666666667,23.580698507330673,19.28563322505567,9.282226756434753,0
679260,2012-03-26,orange,Grocery_Store,0,0,0,2,5.361643835616438,TRUE,FALSE,59.14666666666667,56.27143506751057,29.452116468860858,20.518879208913617,0
679261,2012-03-26,yellow,Restaurant,0,0,0,2,5.997260273972603,FALSE,FALSE,59.14666666666667,17.31609709930082,30.022095363575986,19.089961451712334,0
679266,2012-03-06,green,Restaurant,0,0,0,2,5.810958904109589,FALSE,FALSE,39.766666666666666,11.444954661280855,16.036836380899626,0.6396050424779748,0
679279,2012-03-12,green,Restaurant,0,0,0,2,6.071232876712329,FALSE,FALSE,57.04,1.4695924602394774e-218,1.5092156796484786e-186,2.7357653040183975e-237,0
679283,2012-03-12,green,Restaurant,0,0,0,2,4.7095890410958905,FALSE,FALSE,57.04,13.204630238043427,33.06273988125086,29.699150726321324,0
679292,2012-03-06,blue,Restaurant,0,0,0,2,3.0054794520547947,FALSE,FALSE,39.766666666666666,18.54454516340908,12.814691083675095,23.730241394330722,1
679295,2012-03-07,green,Restaurant,0,0,0,2,4.638356164383562,FALSE,TRUE,50.26666666666667,19.465394437360263,30.699778168584526,2.511379651225972,0
679296,2012-03-14,green,Restaurant,0,1,0,0.40821917808219177,3.350684931506849,FALSE,FALSE,65.40666666666668,1.4889484974328134e-218,1.4742513049692213e-186,2.672663147708546e-237,0
679297,2012-02-14,green,Restaurant,0,0,0,2,5.249315068493151,FALSE,FALSE,32.29,9.255915897146105,18.76860169320778,17.99020280436999,0
679298,2012-03-07,green,Restaurant,0,0,0,2,3.841095890410959,FALSE,FALSE,50.26666666666667,17.33361643026254,31.095822758170485,2.9263614922085743,0
679308,2012-03-14,green,Restaurant,0,0,0,0.38082191780821917,2.1616438356164385,FALSE,FALSE,65.40666666666668,1.4889484974328134e-218,1.4742513049692213e-186,2.672663147708546e-237,0
679310,2012-03-07,blue,Restaurant,1,0,0,0.06027397260273973,1.4986301369863013,FALSE,TRUE,50.26666666666667,13.601937533533905,6.942909228348786,11.168193290234424,1
679318,2012-03-28,blue,Restaurant,0,0,0,2,6.115068493150685,FALSE,FALSE,64.24666666666667,29.070484653530794,35.626511733115514,45.19016173001045,0
679325,2012-03-29,purple,Restaurant,0,0,0,2,5.873972602739726,FALSE,FALSE,65.75333333333333,11.362797327901266,6.646580294093553,8.092533046361787,0
679335,2012-03-29,purple,Restaurant,0,0,0,2,2.2986301369863016,FALSE,FALSE,65.75333333333333,17.82971644055053,8.668797723654576,9.7288525346967,2
679337,2012-03-29,green,Restaurant,0,0,0,0.3917808219178082,5.36986301369863,FALSE,FALSE,65.75333333333333,1.556021047056481e-218,1.3375657535151212e-186,1.2543591175164638e-215,0
679339,2012-03-29,green,Restaurant,0,0,0,0.36712328767123287,5.36986301369863,FALSE,FALSE,65.75333333333333,1.556021047056481e-218,1.3375657535151212e-186,1.2543591175164638e-215,0
679342,2012-03-29,purple,Restaurant,0,0,0,2,1.178082191780822,FALSE,FALSE,65.75333333333333,42.921938769811725,22.769592366771903,13.181074078044922,0
679347,2012-03-30,blue,Restaurant,0,0,0,2,0.2219178082191781,FALSE,FALSE,60.74666666666667,6.023241196611025,4.35396173552039,1.8724043466480422,0
